                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1177,                 4.2957,                 4.1665,                0.00271,                0.70219,                0.00688,                0.00217,                 2.6564,                 4.5146,                 4.0569,               0.070417,               0.003287,               0.003287
                      1,                  3.128,                 4.1859,                 4.0057,                0.00325,                0.65328,                0.00529,                0.00149,                 2.7838,                 29.723,                 4.2676,                0.03998,              0.0061834,              0.0061834
                      2,                 3.0636,                 4.0572,                  3.825,                0.00346,                0.57805,                 0.0049,                 0.0013,                 2.9407,                 85.064,                 4.1451,              0.0091028,              0.0086398,              0.0086398
                      3,                 2.9609,                 3.8863,                 3.5995,                0.00437,                0.25281,                0.02136,                 0.0042,                  2.934,                 5.7721,                 3.8707,                0.00802,                0.00802,                0.00802
                      4,                 2.7396,                 3.7841,                 3.3413,                0.67475,                0.08957,                0.02169,                0.00491,                 2.7107,                 8.7708,                 3.4971,                0.00802,                0.00802,                0.00802
                      5,                 2.5736,                  3.665,                 3.1659,                0.75208,                0.05432,                0.05407,                0.01799,                 2.5588,                 4.7574,                 3.3473,                0.00736,                0.00736,                0.00736
                      6,                 2.4275,                 3.6144,                 3.0202,                0.52249,                0.04042,                 0.0256,                0.00797,                 2.7153,                 5.0408,                 3.4844,                 0.0067,                 0.0067,                 0.0067
                      7,                 2.3347,                  3.476,                 2.9073,                0.05362,                0.14614,                 0.0982,                0.03087,                 2.3672,                 3.9316,                 3.1573,                0.00604,                0.00604,                0.00604
                      8,                 2.2504,                 3.3671,                  2.802,                 0.3182,                0.21723,                0.13092,                0.04356,                 2.2325,                 3.6299,                 3.0111,                0.00538,                0.00538,                0.00538
                      9,                 2.1661,                 3.2089,                 2.6936,                0.07715,                0.17889,                0.07914,                0.02016,                 2.5202,                 3.7717,                 3.2072,                0.00472,                0.00472,                0.00472
                     10,                 2.0797,                 3.1004,                  2.596,                 0.1784,                 0.1476,                0.12107,                0.03662,                 2.1737,                 3.4083,                 2.9712,                0.00406,                0.00406,                0.00406
                     11,                 1.9426,                 2.9841,                  2.493,                0.12988,                0.23098,                0.14294,                0.04324,                  2.103,                 3.3889,                 2.9081,                 0.0034,                 0.0034,                 0.0034
                     12,                 1.9078,                 2.9129,                 2.4634,                 0.5182,                0.17701,                0.17457,                0.06492,                 2.0895,                 3.3856,                  2.884,                0.00274,                0.00274,                0.00274
                     13,                 1.8227,                 2.8322,                 2.3735,                0.25691,                0.30464,                 0.2032,                0.07204,                 1.9576,                 3.2346,                 2.8083,                0.00208,                0.00208,                0.00208
                     14,                 1.7859,                 2.7688,                 2.3408,                0.24041,                0.28766,                0.19443,                0.05933,                 2.0182,                 3.1932,                 2.8463,                0.00142,                0.00142,                0.00142
